xc yc W eW
-1.09 -0.07 0.0851852 0.0185034
-1.09 -0.05 0.0915254 0.0184025
-1.09 -0.03 0.0966667 0.0187981
-1.09 -0.01 0.105263 0.0202045
-1.09 0.01 0.111969 0.0219253
-1.09 0.03 0.129032 0.0228507
-1.09 0.05 0.133333 0.0230264
-1.09 0.07 0.107884 0.0222698
-1.09 0.09 0.141221 0.0248019
-1.09 0.11 0.172043 0.0268836
-1.09 0.13 0.160173 0.0283629
-1.09 0.15 0.131086 0.0235652
-1.09 0.17 0.136364 0.0242274
-1.09 0.19 0.100746 0.0203419
-1.09 0.21 0.135021 0.025429
-1.09 0.23 0.10219 0.0202748
-1.09 0.25 0.1 0.0201843
-1.09 0.27 0.138577 0.0243092
-1.09 0.29 0.105882 0.0214287
-1.09 0.31 0.105442 0.0199114
-1.09 0.33 0.107011 0.0209077
-1.09 0.35 0.1 0.0214087
-1.09 0.37 0.0985401 0.0198765
-1.09 0.39 0.132296 0.0241427
-1.09 0.41 0.121771 0.0224512
-1.09 0.43 0.120301 0.0225092
-1.09 0.45 0.110204 0.0223469
-1.09 0.47 0.11194 0.021551
-1.09 0.49 0.109312 0.022157
-1.09 0.51 0.092 0.0200463
-1.09 0.53 0.0808824 0.017928
-1.09 0.55 0.125984 0.0236324
-1.09 0.57 0.157343 0.0252331
-1.09 0.59 0.0859375 0.019093
-1.09 0.61 0.0963855 0.020601
-1.09 0.63 0.121739 0.0243667
-1.09 0.65 0.109155 0.0206471
-1.09 0.67 0.159184 0.0274437
-1.09 0.69 0.102459 0.021516
-1.09 0.71 0.135593 0.0255431
-1.09 0.73 0.0873362 0.0203639
-1.09 0.75 0.118367 0.0232448
-1.09 0.77 0.123894 0.0248218
-1.07 -0.39 0.122222 0.0225389
-1.07 -0.37 0.146939 0.0262274
-1.07 -0.35 0.11583 0.0223388
-1.07 -0.33 0.0962199 0.0190386
-1.07 -0.31 0.11236 0.0216358
-1.07 -0.29 0.0915493 0.0187582
-1.07 -0.27 0.136364 0.0253046
-1.07 -0.25 0.0909091 0.0186215
-1.07 -0.23 0.10757 0.0217868
-1.07 -0.21 0.165385 0.0272267
-1.07 -0.19 0.099631 0.0201065
-1.07 -0.17 0.126761 0.0224258
-1.07 -0.15 0.175097 0.028295
-1.07 -0.13 0.121569 0.0231235
-1.07 -0.11 0.105634 0.0202791
-1.07 -0.09 0.122302 0.0222203
-1.07 -0.07 0.140625 0.0250313
-1.07 -0.05 0.11284 0.0221046
-1.07 -0.03 0.170124 0.0287403
-1.07 -0.01 0.11157 0.0226378
-1.07 0.01 0.11745 0.0209861
-1.07 0.03 0.109091 0.0209755
-1.07 0.05 0.127907 0.0236469
-1.07 0.07 0.140625 0.0250313
-1.07 0.09 0.099631 0.0201065
-1.07 0.11 0.113971 0.0216047
-1.07 0.13 0.125475 0.0231723
-1.07 0.15 0.144531 0.02542
-1.07 0.17 0.140411 0.0234175
-1.07 0.19 0.0813953 0.0184707
-1.07 0.21 0.0898876 0.0191551
-1.07 0.23 0.1375 0.0255283
-1.07 0.25 0.0934256 0.0188009
-1.07 0.27 0.135231 0.0233737
-1.07 0.29 0.105263 0.0217031
-1.07 0.31 0.0940767 0.0189376
-1.07 0.33 0.122807 0.0245922
-1.07 0.35 0.0898876 0.0191551
-1.07 0.37 0.131783 0.0240437
-1.07 0.39 0.146154 0.0253828
-1.07 0.41 0.111969 0.0219253
-1.07 0.43 0.103571 0.0202042
-1.07 0.45 0.097561 0.0208634
-1.07 0.47 0.150579 0.0258637
-1.07 0.49 0.135714 0.0234622
-1.07 0.51 0.168067 0.0287202
-1.07 0.53 0.156379 0.0272794
-1.07 0.55 0.121951 0.0235837
-1.07 0.57 0.116981 0.0222054
-1.07 0.59 0.162698 0.0273984
-1.07 0.61 0.116 0.0227557
-1.07 0.63 0.110656 0.022443
-1.07 0.65 0.131687 0.0247646
-1.07 0.67 0.104 0.0214304
-1.07 0.69 0.125984 0.0236324
-1.07 0.71 0.131274 0.0239455
-1.07 0.73 0.0909091 0.0202437
-1.07 0.75 0.123894 0.0248218
-1.07 0.77 0.0866426 0.0184361
-1.07 0.79 0.118367 0.0232448
-1.05 -0.41 0.112583 0.0203657
-1.05 -0.39 0.124138 0.0219363
-1.05 -0.37 0.120833 0.0237552
